radio,mcc,lon,lat
UMTS,404,73.843918,18.508333
UMTS,404,73.844604,18.506126
UMTS,404,73.845291,18.504868
UMTS,404,73.845291,18.502808
UMTS,404,73.847351,18.501114
UMTS,404,73.851929,18.500061
UMTS,404,73.854725,18.49829
UMTS,404,73.857651,18.494498
UMTS,404,73.848124,18.509388
UMTS,404,73.866501,18.481064
UMTS,404,73.8658905,18.48106384
UMTS,404,73.86644,18.481064
UMTS,404,73.865228,18.481111
UMTS,404,73.868637,18.481064
UMTS,404,73.860214,18.483444
UMTS,404,73.857838,18.48818
UMTS,404,73.857651,18.49205
UMTS,404,73.85765076,18.48930359
UMTS,404,73.863602,18.481064
UMTS,404,73.853531,18.504066
UMTS,404,73.85353088,18.50440979
UMTS,404,73.853139,18.505391
UMTS,404,73.851089,18.507462
GSM,404,73.81121,18.507777
GSM,404,73.774652,18.509302
GSM,404,73.78109,18.508186
GSM,404,73.785381,18.507156
GSM,404,73.788528,18.507385
GSM,404,73.789444,18.508358
GSM,404,73.79447937,18.50852966
GSM,404,73.79533,18.508333
GSM,404,73.798141,18.507156
GSM,404,73.801992,18.507156
GSM,404,73.8054657,18.50715637
GSM,404,73.807103,18.507156
GSM,404,73.809242,18.508358
GSM,404,73.811518,18.50914
GSM,404,73.81370544,18.50990295
GSM,404,73.81507874,18.50990295
GSM,404,73.811165,18.509491
GSM,404,73.823318,18.507803
GSM,404,73.825255,18.506346
GSM,404,73.828599,18.508459
GSM,404,73.843846,18.508204
GSM,404,73.843759,18.509639
GSM,404,73.844391,18.50602
GSM,404,73.847193,18.501241
GSM,404,73.852909,18.499597
GSM,404,73.854808,18.495627
GSM,404,73.853797,18.490854
GSM,404,73.853531,18.487329
GSM,404,73.853531,18.484955
GSM,404,73.857525,18.483054
GSM,404,73.855919,18.480407
GSM,404,73.858668,18.479538
GSM,404,73.857536,18.477154
GSM,404,73.856758,18.47303
GSM,404,73.855279,18.473615
GSM,404,73.861242,18.470289
GSM,404,73.857651,18.469293
GSM,404,73.862715,18.489161
GSM,404,73.85925,18.489529
GSM,404,73.857765,18.490631
GSM,404,73.857193,18.491364
GSM,404,73.857782,18.492606
GSM,404,73.857536,18.49534
GSM,404,73.857693,18.497614
GSM,404,73.85788,18.501205
GSM,404,73.85765076,18.50166321
GSM,404,73.85765076,18.49342346
GSM,404,73.866728,18.488902
GSM,404,73.868263,18.483186
GSM,404,73.8582,18.494797
GSM,404,73.85765076,18.50028992
GSM,404,73.868752,18.48896
GSM,404,73.869122,18.492858
GSM,404,73.863144,18.49374
GSM,404,73.86307,18.492271
GSM,404,73.860397,18.496445
GSM,404,73.822403,18.475342
GSM,404,73.78486633,18.45497131
GSM,404,73.786648,18.45627
GSM,404,73.799488,18.456151
GSM,404,73.804565,18.45756
GSM,404,73.806892,18.457929
GSM,404,73.810468,18.459342
GSM,404,73.814982,18.46351
GSM,404,73.820761,18.462359
GSM,404,73.817664,18.466523
GSM,404,73.818924,18.467606
GSM,404,73.82017,18.470162
GSM,404,73.821361,18.472766
GSM,404,73.822076,18.47423
GSM,404,73.824174,18.478616
GSM,404,73.826392,18.482208
GSM,404,73.827381,18.483696
GSM,404,73.82881165,18.48655701
GSM,404,73.830339,18.488737
GSM,404,73.835282,18.493265
GSM,404,73.843509,18.499676
GSM,404,73.844139,18.500829
GSM,404,73.851334,18.50441
GSM,404,73.853696,18.504135
GSM,404,73.855917,18.504421
GSM,404,73.85627747,18.50440979
GSM,404,73.85627747,18.50440979
GSM,404,73.85353088,18.50028992
GSM,404,73.827105,18.492137
GSM,404,73.809036,18.458817
GSM,404,73.833755,18.44838
GSM,404,73.839233,18.435261
GSM,404,73.839013,18.432606
GSM,404,73.799973,18.484726
GSM,404,73.798761,18.476475
GSM,404,73.795166,18.475342
GSM,404,73.789536,18.470901
GSM,404,73.786828,18.469097
GSM,404,73.782859,18.466275
GSM,404,73.78486633,18.46183777
GSM,404,73.820572,18.469803
GSM,404,73.827324,18.483124
GSM,404,73.833565,18.49279
GSM,404,73.851042,18.498917
GSM,404,73.856964,18.50029
GSM,404,73.857559,18.501663
GSM,404,73.856735,18.498611
GSM,404,73.860968,18.500163
GSM,404,73.86838,18.501148
GSM,404,73.832202,18.462803
GSM,404,73.831635,18.462143
GSM,404,73.834305,18.45968
GSM,404,73.82469177,18.49205017
GSM,404,73.77388,18.50990295
GSM,404,73.78349304,18.50715637
GSM,404,73.78486633,18.50715637
GSM,404,73.793564,18.502121
GSM,404,73.788461,18.493747
GSM,404,73.802204,18.482609
GSM,404,73.810959,18.472549
GSM,404,73.849411,18.451309
GSM,404,73.852776,18.450233
GSM,404,73.857197,18.448641
GSM,404,73.858251,18.449627
GSM,404,73.85353088,18.44947815
GSM,404,73.832474,18.497314
GSM,404,73.826125,18.500947
GSM,404,73.854016,18.475167
GSM,404,73.8507843,18.47831726
GSM,404,73.851497,18.468434
GSM,404,73.850045,18.467067
GSM,404,73.84941101,18.46595764
GSM,404,73.84941101,18.46733093
GSM,404,73.852158,18.468368
GSM,404,73.853531,18.470215
GSM,404,73.857837,18.487325
GSM,404,73.859347,18.489405
GSM,404,73.866428,18.489124
GSM,404,73.869891,18.490259
GSM,404,73.869667,18.495501
GSM,404,73.869839,18.498681
GSM,405,73.819199,18.469391
GSM,404,73.85902405,18.50028992
GSM,404,73.827438,18.480377
GSM,405,73.846359,18.509903
GSM,405,73.816177,18.504135
GSM,405,73.819199,18.504066
GSM,405,73.816109,18.50544
GSM,404,73.81370544,18.4879303
GSM,404,73.81645203,18.47694397
GSM,404,73.81233215,18.47419739
GSM,404,73.81095886,18.4728241
GSM,404,73.81645203,18.46733093
GSM,404,73.81919861,18.46321106
GSM,404,73.82194519,18.46321106
UMTS,405,73.861521,18.446981
GSM,404,73.850138,18.502552
UMTS,404,73.79447937,18.50852966
GSM,404,73.84529114,18.45222473
GSM,404,73.79447937,18.46870422
UMTS,404,73.821945,18.49926
UMTS,405,73.867111,18.448563
UMTS,404,73.842697,18.457413
UMTS,404,73.799286,18.444672
GSM,405,73.857956,18.469315
GSM,405,73.856964,18.476944
GSM,404,73.82606506,18.49067688
UMTS,404,73.85353088,18.46595764
UMTS,404,73.84941101,18.46733093
UMTS,404,73.84941101,18.46733093
UMTS,404,73.79859924,18.44398499
UMTS,404,73.82194519,18.47419739
UMTS,404,73.806839,18.499832
UMTS,404,73.803406,18.49823
UMTS,404,73.802376,18.500633
GSM,404,73.869781,18.468246
UMTS,404,73.832016,18.451767
UMTS,404,73.82194519,18.47419739
UMTS,404,73.795166,18.50441
UMTS,404,73.79585266,18.50440979
GSM,404,73.835776,18.505685
UMTS,404,73.832932,18.50544
UMTS,404,73.834915,18.506241
GSM,404,73.83934,18.498825
UMTS,404,73.837051,18.495483
UMTS,404,73.83293152,18.49067688
UMTS,404,73.85215759,18.50028992
GSM,405,73.84941101,18.44947815
UMTS,404,73.86039734,18.50715637
GSM,404,73.857062,18.489892
GSM,404,73.857651,18.487473
GSM,404,73.855631,18.473341
GSM,404,73.853378,18.432999
UMTS,405,73.813705,18.494797
GSM,405,73.824692,18.493149
UMTS,404,73.85353088,18.43299866
UMTS,404,73.85353088,18.43299866
